/Users/gaurav_raj/ai-projects/s3-karo/app/(main)/dashboard/[type]/page.tsx: line 60, col 32, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/(main)/dashboard/[type]/page.tsx: line 61, col 37, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/(main)/dashboard/page.tsx: line 45, col 12, Warning - 'e' is defined but never used. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/app/(main)/private/api-keys/page.tsx: line 151, col 26, Warning - Classname 'bg-green-50' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/app/(main)/private/api-keys/page.tsx: line 151, col 26, Warning - Classname 'border-green-200' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/app/(main)/private/api-keys/page.tsx: line 152, col 26, Warning - Classname 'text-green-800' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/app/(main)/private/api-keys/page.tsx: line 223, col 25, Warning - Classname 'bg-green-100' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/app/(main)/private/api-keys/page.tsx: line 223, col 25, Warning - Classname 'text-green-800' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/app/(main)/private/api-keys/page.tsx: line 254, col 21, Warning - Classname 'text-red-500' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/app/(main)/private/api-keys/page.tsx: line 254, col 21, Warning - Classname 'hover:text-red-600' is not a Tailwind CSS class! (tailwindcss/no-custom-classname)
/Users/gaurav_raj/ai-projects/s3-karo/app/(main)/private/profile/page.tsx: line 21, col 9, Warning - 'handleNavigateToManaged' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/app/(main)/private/profile/page.tsx: line 21, col 36, Warning - 'section' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/app/(main)/private/settings/page.tsx: line 14, col 10, Warning - 'hasConfig' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/app/(main)/private/settings/page.tsx: line 15, col 40, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/(main)/private/settings/page.tsx: line 16, col 9, Warning - 'router' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
